CLI_CONFIG_ID,RELEASE_CONFIG_ID,FW_TYPE,TITLE,FLASH_VENDOR,FLASH_GEOMETRY,FLASH_TYPE,FLASH_PN,PACKAGE_TYPE,PACKAGE_COUNT,PACKAGE_DENSITY,PACKAGE_DIE_COUNT,CAPACITY_RAW,CAPACITY_USER,512_LBA_COUNT,512+DIF_LBA_COUNT,520_LBA_COUNT,524_LBA_COUNT,528_LBA_COUNT,4096_LBA_COUNT,4096+DIF_LBA_COUNT,NON_512BYTE_SECTOR_SIZE,RAISE_ON,VERSION_DEMO,VERSION_RELEASE,TOPO_ID,SATA_SPEED,WRITE_IOPS,FW_FUSE,INDUSTRIAL_FEATURES,CLI_BUILD_ID,RELEASE_BUILD_ID,VALID_FLAG,RELEASE_STATUS,FW_WORKSHEET,VALIDATED,ASIC_SUPPORT
C27519,27519,SF-2281-Gold,"SF-2281-Gold 128GB Sandisk19 MLC BGA 4xSDYNQGCRM-032GUL (RAISE OFF, VCCQ=3.3V)",SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,4,256,QDP,128,128,250069680,,,,,,,No,No,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01703,PP-R01703,Y,External,GoldSanDisk,0,B01 & B02
C27520,27520,SF-2281-Gold,"SF-2281-Gold 192GB Sandisk19 MLC BGA 6xSDYNQGCRM-032GUL (RAISE OFF, VCCQ=3.3V)",SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,6,256,QDP,192,192,375093936,,,,,,,No,No,TBD,TBD,2Q-4C-1D-3L,6,0,FC00,No,PP-C01704,PP-R01704,Y,External,GoldSanDisk,0,B01 & B02
C27521,27521,SF-2281-Gold,"SF-2281-Gold 256GB Sandisk19 MLC BGA 8xSDYNQGCRM-032GUL (RAISE OFF, VCCQ=3.3V)",SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,8,256,QDP,256,256,500118192,,,,,,,No,No,TBD,TBD,2Q-4C-1D-4L,6,0,FC00,No,PP-C01705,PP-R01705,Y,External,GoldSanDisk,0,B01 & B02
C27522,27522,SF-2281-Gold,"SF-2281-Gold 384GB Sandisk19 MLC BGA 12xSDYNQGCRM-032GUL (RAISE OFF, VCCQ=3.3V)",SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,12,256,QDP,384,384,750166704,,,,,,,No,No,TBD,TBD,2Q-8C-1D-3L,6,0,FC00,No,PP-C01706,PP-R01706,Y,External,GoldSanDisk,0,B01 & B02
C27523,27523,SF-2281-Gold,"SF-2281-Gold 512GB Sandisk19 MLC BGA 16xSDYNQGCRM-032GUL (RAISE OFF, VCCQ=3.3V)",SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,16,256,QDP,512,512,1000215216,,,,,,,No,No,TBD,TBD,2Q-8C-1D-4L,6,0,FC00,No,PP-C01707,PP-R01707,Y,External,GoldSanDisk,0,B01 & B02
C27524,27524,SF-2281-Gold,SF-2281-Gold 480GB Sandisk19 MLC BGA 16xSDYNQGCRM-032GUL (VCCQ=3.3V),SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,16,256,QDP,512,480,937703088,,,,,,,No,Yes,TBD,TBD,2Q-8C-1D-4L,6,0,FC00,No,PP-C01707,PP-R01707,Y,External,GoldSanDisk,0,B01 & B02
C27525,27525,SF-2281-Gold,SF-2281-Gold 240GB Sandisk19 MLC BGA 8xSDYNQGCRM-032GUL (VCCQ=3.3V),SanDisk,19,MLC,SDYNQGCRM-032GUL,BGA,8,256,QDP,256,240,468862128,,,,,,,No,Yes,TBD,TBD,2Q-4C-1D-4L,6,0,FC00,No,PP-C01705,PP-R01705,Y,External,GoldSanDisk,0,B01 & B02
C27526,27526,SF-2281-Gold,SF-2281-Gold 48GB Micron20 MLC BGA 3xMT29F128G08CECBB (RAISE OFF),Micron,20,MLC,MT29F128G08CECBB,BGA,3,128,DDP,48,48,93789360,,,,,,,No,No,TBD,TBD,2Q-1C-1D-3L,6,0,FC00,No,PP-C01709,PP-R01709,Y,External,Gold,0,B01 & B02
C27527,27527,SF-2281-Gold,SF-2281-Gold 64GB Micron20 MLC BGA 4xMT29F128G08CECBB (RAISE OFF),Micron,20,MLC,MT29F128G08CECBB,BGA,4,128,DDP,64,64,125045424,,,,,,,No,No,TBD,TBD,2Q-1C-1D-4L,6,0,FC00,No,PP-C01708,PP-R01708,Y,External,Gold,0,B01 & B02
C27528,27528,SF-2281-Gold,SF-2281-Gold 96GB Micron20 MLC BGA 6xMT29F128G08CECBB (RAISE OFF),Micron,20,MLC,MT29F128G08CECBB,BGA,6,128,DDP,96,96,187557552,,,,,,,No,No,TBD,TBD,2Q-2C-1D-3L,6,0,FC00,No,PP-C01711,PP-R01711,Y,External,Gold,0,B01 & B02
C27529,27529,SF-2281-Gold,SF-2281-Gold 128GB Micron20 MLC BGA 8xMT29F128G08CECBB (RAISE OFF),Micron,20,MLC,MT29F128G08CECBB,BGA,8,128,DDP,128,128,250069680,,,,,,,No,No,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01710,PP-R01710,Y,External,Gold,0,B01 & B02
C27530,27530,SF-2281-Gold,SF-2281-Gold 192GB Micron20 MLC BGA 12xMT29F128G08CECBB (RAISE OFF),Micron,20,MLC,MT29F128G08CECBB,BGA,12,128,DDP,192,192,375093936,,,,,,,No,No,TBD,TBD,2Q-4C-1D-3L-S,6,0,FC00,No,PP-C01713,PP-R01713,Y,External,Gold,0,B01 & B02
C27531,27531,SF-2281-Gold,SF-2281-Gold 256GB Micron20 MLC BGA 16xMT29F128G08CECBB (RAISE OFF),Micron,20,MLC,MT29F128G08CECBB,BGA,16,128,DDP,256,256,500118192,,,,,,,No,No,TBD,TBD,2Q-4C-1D-4L-S,6,0,FC00,No,PP-C01712,PP-R01712,Y,External,Gold,0,B01 & B02
C27532,27532,SF-2281-Gold,SF-2281-Gold 96GB Micron20 MLC BGA 3xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,3,256,QDP,96,96,187557552,,,,,,,No,No,TBD,TBD,2Q-2C-1D-3L,6,0,FC00,No,PP-C01711,PP-R01711,Y,External,Gold,0,B01 & B02
C27533,27533,SF-2281-Gold,SF-2281-Gold 128GB Micron20 MLC BGA 4xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,4,256,QDP,128,128,250069680,,,,,,,No,No,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01710,PP-R01710,Y,External,Gold,0,B01 & B02
C27534,27534,SF-2281-Gold,SF-2281-Gold 192GB Micron20 MLC BGA 6xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,6,256,QDP,192,192,375093936,,,,,,,No,No,TBD,TBD,2Q-4C-1D-3L,6,0,FC00,No,PP-C01715,PP-R01715,Y,External,Gold,0,B01 & B02
C27535,27535,SF-2281-Gold,SF-2281-Gold 256GB Micron20 MLC BGA 8xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,8,256,QDP,256,256,500118192,,,,,,,No,No,TBD,TBD,2Q-4C-1D-4L,6,0,FC00,No,PP-C01714,PP-R01714,Y,External,Gold,0,B01 & B02
C27536,27536,SF-2281-Gold,SF-2281-Gold 384GB Micron20 MLC BGA 12xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,12,256,QDP,384,384,750166704,,,,,,,No,No,TBD,TBD,2Q-8C-1D-3L,6,0,FC00,No,PP-C01717,PP-R01717,Y,External,Gold,0,B01 & B02
C27537,27537,SF-2281-Gold,SF-2281-Gold 512GB Micron20 MLC BGA 16xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,16,256,QDP,512,512,1000215216,,,,,,,No,No,TBD,TBD,2Q-8C-1D-4L,6,0,FC00,No,PP-C01716,PP-R01716,Y,External,Gold,0,B01 & B02
C27538,27538,SF-2281-Gold,SF-2281-Gold 192GB Micron20 MLC BGA 3xMT29F512G08CUCBB (RAISE OFF),Micron,20,MLC,MT29F512G08CUCBB,BGA,3,512,8DP,192,192,375093936,,,,,,,No,No,TBD,TBD,2Q-2C-2D-3L,6,0,FC00,No,PP-C01719,PP-R01719,Y,External,Gold,0,B01 & B02
